recording_mbid,genres,ISRC,duration
0003dd36-b4d2-4216-a37e-b110f6882ecb,"['alternative rock', 'ambient', 'electronic', 'ethereal wave', 'experimental rock', 'grunge', 'iceland', 'icelandic', 'post rock', 'post-rock', 'rock', 'space rock', 'trip hop']",GBDCA9900070,491000.0
00047577-1669-4da1-9aa5-7d7b7923ebdf,"['alternative rock', 'emo', 'indie', 'indie rock', 'math rock', 'midwest emo', 'rock']",US3R49900018,163053.0
0006fc51-adb4-4417-b8fb-7b954b853923,"['2-step', 'ambient', 'dubstep', 'electronic', 'future garage', 'grime']",GBLZC0500002,301506.0
0006ff85-f08f-4c5a-844d-ce0ec70ad670,"['billboard hot 100', 'billboard hot 100 2025', 'conscious hip hop', 'contemporary r&b', 'funk', 'hardcore hip hop', 'hip hop', 'soul', 'west coast hip hop']",USUG12408498,233000.0
000dbffe-59b2-42ba-9458-c8989dccaeb9,"['electronic', 'electronica', 'electropop', 'elektro', 'pop', 'rock', 'synth-pop', 'synthpop']",GBAJH0900116,211266.0
00101edd-3a4f-47eb-aac1-767584291e0a,"['alternative pop/rock', 'chamber pop', 'indie', 'indie folk', 'indie pop', 'indie rock', 'post-rock', 'rock']",GBUM71021641,200720.0
00130e5d-7126-4400-84dd-b7dbb2c726b5,"['gothic metal', 'heavy metal', 'metal', 'rock', 'symphonic metal', 'symphonic rock']",NLP510500044,313080.0
0013498a-813e-426f-aec4-afb8aa98e83d,"['ambient', 'chillwave', 'electronic', 'electronica', 'experimental', 'pop', 'synth-pop']",GBCFB1404202,195692.0
0016add2-6a01-4dde-809c-55adfa487e8e,"['angry', 'cool', 'death metal', 'fast', 'grindcore', 'hardcore', 'hardcore punk', 'heavy metal', 'intense', 'metal', 'pop/rock', 'rock', 'sexy', 'thrash metal']",GBBPB0703021,74386.0
00176507-22cb-41b6-aa25-96a190d523f8,"['cumbia', 'latin', 'latin pop', 'spanish']",COSO11300338,255573.0
00194306-dbe0-4977-b650-82d5638a779a,"['punk', 'rock']",DES871013305,192640.0
